,movieId,imdbId,title,genre
69,188,114194,"Prophecy, The (1995)",Fantasy|Horror|Mystery
70,190,114323,Safe (1995),Thriller
71,196,114508,Species (1995),Horror|Sci-Fi
72,206,114805,Unzipped (1995),Documentary
73,210,114938,Wild Bill (1995),Western
74,220,112643,Castle Freak (1995),Horror
75,239,113198,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
76,240,113303,Hideaway (1995),Thriller
77,241,113089,Fluke (1995),Children|Drama
78,243,113199,Gordy (1995),Children|Comedy|Fantasy
79,246,110057,Hoop Dreams (1994),Documentary
80,250,110006,Heavyweights (Heavy Weights) (1995),Children|Comedy
81,257,113501,Just Cause (1995),Mystery|Thriller
82,262,113670,"Little Princess, A (1995)",Children|Drama
83,311,110965,Relative Fear (1994),Horror|Thriller
84,313,111333,"Swan Princess, The (1994)",Animation|Children
85,320,108260,Suture (1993),Film-Noir|Thriller
86,328,114608,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
87,332,114852,Village of the Damned (1995),Horror|Sci-Fi
88,335,114788,Underneath (1995),Mystery|Thriller
89,363,107472,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
90,373,105226,Red Rock West (1992),Thriller
91,383,111756,Wyatt Earp (1994),Western
92,407,113409,In the Mouth of Madness (1995),Horror|Thriller
93,416,109198,Bad Girls (1994),Western
94,422,109297,Blink (1994),Thriller
95,426,106452,Body Snatchers (1993),Horror|Sci-Fi|Thriller
96,457,106977,"Fugitive, The (1993)",Thriller
97,490,107497,Malice (1993),Thriller
98,512,111003,"Puppet Masters, The (1994)",Horror|Sci-Fi
99,540,108162,Sliver (1993),Thriller
100,551,107688,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
101,594,29583,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
102,595,101414,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
103,596,32910,Pinocchio (1940),Animation|Children|Fantasy|Musical
104,606,112625,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
105,616,65421,"Aristocats, The (1970)",Animation|Children
106,638,113448,Jack and Sarah (1995),Romance
107,662,116287,Fear (1996),Thriller
108,695,114736,True Crime (1996),Mystery|Thriller
109,735,109592,Cemetery Man (Dellamorte Dellamore) (1994),Horror
110,741,113568,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
111,745,112691,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
112,880,116654,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
113,900,43278,"American in Paris, An (1951)",Musical|Romance
114,904,47396,Rear Window (1954),Mystery|Thriller
115,913,33870,"Maltese Falcon, The (1941)",Film-Noir|Mystery
116,918,37059,Meet Me in St. Louis (1944),Musical
117,930,38787,Notorious (1946),Film-Noir|Romance|Thriller
118,931,38109,Spellbound (1945),Mystery|Romance|Thriller
119,938,51658,Gigi (1958),Musical
120,963,41509,"Inspector General, The (1949)",Musical
121,976,22879,"Farewell to Arms, A (1932)",Romance|War
122,1035,59742,"Sound of Music, The (1965)",Musical|Romance
123,1055,120107,Shadow Conspiracy (1997),Thriller
124,1137,116587,Hustler White (1996),Romance
125,1199,88846,Brazil (1985),Fantasy|Sci-Fi
126,1212,41959,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
127,1339,103874,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
128,1398,116621,In Love and War (1996),Romance|War
129,1459,118548,Absolute Power (1997),Mystery|Thriller
130,1475,116743,Kama Sutra: A Tale of Love (1996),Romance
131,1477,119572,Love Jones (1997),Romance
132,1493,116931,Love and Other Catastrophes (1996),Romance
133,1514,116295,Temptress Moon (Feng Yue) (1996),Romance
134,1574,119098,Fall (1997),Romance
135,1658,119535,"Life Less Ordinary, A (1997)",Romance|Thriller
136,1779,120184,Sphere (1998),Sci-Fi|Thriller
137,1926,19729,"Broadway Melody, The (1929)",Musical
138,2066,39689,Out of the Past (1947),Film-Noir
139,2187,42994,Stage Fright (1950),Mystery|Romance|Thriller
140,2206,34248,Suspicion (1941),Film-Noir|Mystery|Thriller
141,2311,86837,2010: The Year We Make Contact (1984),Sci-Fi
142,2327,100740,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller
143,2401,89767,Pale Rider (1985),Western
144,2526,79550,Meteor (1979),Sci-Fi
145,2661,45920,It Came from Outer Space (1953),Sci-Fi
146,2665,49169,Earth vs. the Flying Saucers (1956),Sci-Fi
147,2669,53183,Pork Chop Hill (1959),War
148,2670,52151,Run Silent Run Deep (1958),War
149,2698,120554,Zone 39 (1997),Sci-Fi
150,2877,73812,Tommy (1975),Musical
151,2896,60095,Alvarez Kelly (1966),Western
152,2921,68699,High Plains Drifter (1973),Western
153,2941,52225,South Pacific (1958),Musical|Romance|War
154,3037,65988,Little Big Man (1970),Western
155,3074,68762,Jeremiah Johnson (1972),Western
156,3081,162661,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance
157,3315,43618,Happy Go Lovely (1951),Musical
158,3354,183523,Mission to Mars (2000),Sci-Fi
159,3355,142688,"Ninth Gate, The (1999)",Fantasy|Horror|Mystery|Thriller
160,3474,117468,Retroactive (1997),Sci-Fi|Thriller
161,3604,56048,Gypsy (1962),Musical
162,3706,92563,Angel Heart (1987),Film-Noir|Horror|Mystery|Thriller
163,3806,64615,Mackenna's Gold (1969),Western
164,3937,88024,Runaway (1984),Sci-Fi|Thriller
165,4105,83907,"Evil Dead, The (1981)",Fantasy|Horror|Thriller
166,4129,93467,Made in Heaven (1987),Fantasy|Romance
167,4329,53221,Rio Bravo (1959),Western
168,4426,48261,Kiss Me Deadly (1955),Film-Noir
169,4496,94933,D.O.A. (1988),Film-Noir|Mystery|Thriller
170,4927,76299,"Last Wave, The (1977)",Fantasy|Mystery|Thriller
171,6434,37954,"Objective, Burma! (1945)",War
172,7335,46187,Pickup on South Street (1953),Film-Noir
173,60389,870211,Battle for Haditha (2007),War
